image,face,FEMALE_GENITALIA_COVERED,BUTTOCKS_EXPOSED,FEMALE_BREAST_EXPOSED,FEMALE_GENITALIA_EXPOSED,MALE_BREAST_EXPOSED,ANUS_EXPOSED,FEET_EXPOSED,BELLY_COVERED,FEET_COVERED,ARMPITS_COVERED,ARMPITS_EXPOSED,BELLY_EXPOSED,MALE_GENITALIA_EXPOSED,ANUS_COVERED,FEMALE_BREAST_COVERED,BUTTOCKS_COVERED
08dsnxebW6wZCu8NpmK3kn,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
08x1sIbFs0yXiLpj1pOpxa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09FqVvj8EwzFjYQhiT1LUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
09SHEFuq2BcaXgVwQx3uUg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09XgqxfkwCXTMAkIDtrksk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09b9NC1oQbYaHcacgXn66k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09bA0l9N7ntRqwpP0mSWAK,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
09eLFhImEeeEDKlaLznMOv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09nN4xDpNFT9jRc5L8kXMd,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
09qxG7QLNUM8SHYXX878Xe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09rNh6weVS43LVc4sRt5WV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0A17WGpndqdpeoYTnGPFa2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0A4T5QCqEgcyKcKqZhAIlP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0AAW8aytDh2xZiNUbaMySW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0AHaFhhNCg3u0j6EJ3NfP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0AfVESlPyukgMkyWo4ipnQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Ahcn27hMCDkSc6mTYhlH5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0AqurYcKg73g81nADrFcyY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0BA1h18jGi9tQ4iUAacLMG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0BAmcZfsraNVyG6rj782Og,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0BUPS678TfgTmCMVOviolC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0BYiDyfOOhzFrX9ENunvbk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Bp74uKtTCSzyUkh5VMtNm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C3ZDkBKTqGvwZzqaZMigT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0CPD6yP11H86RohYYNBD76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0CUMVFalkFhZM6Xo0ErxLi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0CeiSJnHBxX9aTzhJdpljp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0DEELTj7PdjJllo8BLfcFU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0DGJyFVAhqx3DsnB0eonvA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0DLvFVIfwt3OHdK9kGeEM3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0DMKZZanrzK36YjFyI5nfF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0DT0JroJde45L5CqD3xFfR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0DY5kJhDXPfDjVdSKNvWlL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0DoVnWjNFYoUfq7qe36jxh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0DqDdZGSQkWQiE0TzBqeLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0E2PgtXRUHCslZ7gRselUq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0E2aK1mNCG2c0AfMaRs3a4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0E2dGqcRK31AewsOMSZS3E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0E2xXn23qVmfx9ThZjWFBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0E3wRkztEF32ZdYICXBuBf,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0E4xv5gPjykrwBgBZzI8XG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ECSyPejfD7oL95dD3jgoi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0EDHtO4AUFpX7964eyY9WA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0EgK3iRxEr2vuokKSE2khi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0EiI8ylL0FmWWpgHVTsZjZ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0EiicIJj442bfIV1FfTaol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0EmgzguOzsDNC8yZzxK8Zi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0F0Fsao0H2ceIQdzGNTkrP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0FCE9Qzaars3fSBXWLydYb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0FDkRPm9cIRJ8qBkxj2Qny,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0FI8JaUH7kqtvM6EkmCm7t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0FPDKemqYjOIQnMhqjL7YO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0FQ3i3pmGkdbGzXfVImtXf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0FYvMdfTfYJxnJnKs1wDb0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0FZBhjDJOY7l3eQ1uswUR4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0FgZKfoU2Br5sHOfvZKTI9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0FrC9lzgVhziJenigsrXdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0FzWvaeMBfKBCqxHTLVlB8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0G1YnsWxzQoJ2B1QtZLj1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0GJU424RiEyYQTLbZcHVA7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0HO9NtwyP7ZqB1jZ70MJL6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0HRZ0CldV3tp7U2sTomtIf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0HS8aknH0JQdMIiBVhyOCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0HWcZDc3l4PrjpoKA8JDcf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0HeDKsZqyskYWkoHmXObsv,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0HvKhpJzjmC5wloza8MjXF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0IMTA2Wz6p8CNZ0MDK2zvg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0IR43Xf6qGF3iYKW1qg24s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ITPUZfqnXi720BiYRJWPq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0IaSHcgwFych3YIScdBDyW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0IeCqguWKSslODbwnrelhq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ItP8PEXg35DjbKlso5Gvn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Iybpv18tfdTUqJ6mhhZb8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0JGOiO34nwfUdDrD612dOp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Jck41FMi9tJooKSHApv9p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0JfgfkFvNYiZIt5mS3skmZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Jn2rXkgAYZYcdqAi42FL7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0JqzMnZ5MHSUOoXLGGZQwv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0K9LomcuSu6FqlWGI8XbS5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0KC9H4iFOOWiKEa5IzKKOE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0KLWUjARA0kqAtVN83d8I8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0KLk3N51EO7CG7d9MdQ2XE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0KQoc67ApuKSx5qBPtrXJt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0KY2QQMpqsy1tOyNhr4zxI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0KgRZOlXJssqaxzebmdf1w,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0KgcBsDY5uFt4EaG3roI3x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0KjckH1EE6HRRurMIXSc0r,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0L9jGxveXS2A9XXr1JwvCZ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0LLA5YL3g2UReWlP7nWqGh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Lg1uZvI312TPqxNWShFXL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0LqhbUfmHsxovfSirhEIGu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0LsgprlY39p4CnQMtnH5pf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Lyu4QtTnVUC7vVycP5l4J,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Lzt3Z4hUw8Dts7olIruNz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0M4KfcwtjsxZye3gK4fBKX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0MV1yCXcNNQBfwApqAVkH0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0MYpaG2Kjp6ss5g0IgKrE4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Mc3GAbIwtgywCJadgGFgi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Mh4KBhAf7Rvq2kHCu61YK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0MmL6xJbvjPOslsgTOypQ8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0MzU9pXhacv2QkVjAhDVtd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0N1Q6nIiSUE5UWISRuLJfW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0N5UdJXj3N2Bjg5KnPAVHQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0NAzQ4QXcT7UaNbD3HyK9J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0NIuyJBQRvPaIjnyvTMBIe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0NcthPhd70vrFBXmZw4U7Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0NdEQpmPJDK0XXM8txpqIm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Neg41qXHsWHsA6Q7KY44P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0NnfetJHrwT3nGZXI2aGyf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0NrDp8wKKFdhyHSMlcHBnD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Nur9t7M0miEBoAnQ3rPv2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0NvirtaDCaZU5PAW1O5FDE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0NzheutoSuzfMlENTnHTQl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0O6onBuhBVzHtJb9bk4rOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ODLCdHBFVvKwJGeSfd1jy,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0OILc80AZARKvzvzopT4MB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0OKkh48eM4kqlnu2fAE8go,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ONGXnqkOl98GYJy619wqn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0OUOx6rJXtL66AzTnP9KUE,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0OWvUsVTHFXXnGiGht96K4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Ohny76eNCYxU4TQEm07iz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0PHMNbcgHfzSUALlfk7wGg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0PdoYuZyaJ0uJz8YF0Pjpb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Pj9usAe5cnhsfBAIqgcOP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0PwuOsIEnZ5qUFeE5fEEXp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Py8hbFZ9QhI2gPEqzbla1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0PzdLoIQIXkayaxuagPHH6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Q0rJ81u7O4EFCpqkcwJJ2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Q1w1Erx4cER4JCT3cZFhZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Q5XBpCYFgUWiG9DUWyAmJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0QAajcM0nxH9HTtJ1zeCT3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0QdrshIUWbNGzw4dAtrLlL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0QnWm07An8WyO3eupjBDoP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0R6b9wFzK0OS1eTax4tc1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0R8H8XYAiHsh2dwzb4RHsI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0RC6zAK2lRnpMsXBgZEVUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0RC79iOln9WK1Rcd9z7IXm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0RemO3TlI1NdaeWqdE4E9H,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ResBXlOIf8Bqsf6W9swJx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Rfqw98N7kZ4qVPGWvt8Gn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Rg860pD2hAMGY3BQKzrOs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0RjsbmAOQzWOq3fxQ002rX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0RnVSSUbSBEjk5MlQZhYYP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Rzg7fqyWE39G6wKipxrns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0S0KGZnfBGSIssfF54WSJh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0S5M7f4a9QPru8Qq5l5Rnx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0S6IvSav8DtUEvnNXrihdU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0S9D5NIDp2YXhYwlvuJzqx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0SFtIrRytNI4kcf93Tbhdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0SW0LplxFID1otCk4bhhHI,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0SXtNBEYPTc7sXyLF9N7TT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0SrskI3mHcu5MzKeZNv2f6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0SyEsGffJ9ZqvRkuVrzOlB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0SzoksypeognxYJJOJEYip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0T6QxdJZwYrXPHd829SnqK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0TGgnGzU80sNhNS1nBMiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0TSbHnhn58NpuKY2GumzKj,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Tbf101DgSbH9k9gOMYjAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0U28P0QVB1QRxpqp5IHOlH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0U3nI78LUpAwprraUf7vAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0U8ec9AzCbzMNNFEAAteQY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0UN0kwFQ3zahWvyhDfmycZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0UQr4EfIUbii2ufru3mnKe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0URsHGo0BWzA5E84XG8B3m,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0V7c0hnrLUFJyHNtjiAT2E,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0V8SYMiseBxd13rhdfmcsF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0VEFy5MsBiq0u2lWL0OwOd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0VEuh3ku5EpMHrMYuGTSTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0VL6FmdjxL0fgeOXXwzZKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0VV963BfZvQmjzZ14ai7Gu,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0VZo00CZ7kv8GH7fUzSqTr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ValflNlWce21wm5PlwV60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Vcu9I1RkUF1VYSVeYwLhR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Vg08UGOqRNtsdhILEmsjH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0Vi8OowBlaTJrzk7gTLJ3d,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0W5woeQnfOZmVLSbggRRlR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0W7KBrn4FQOvz5eWsGz8T8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0WI3ZzXmJJKWCZb76NtzjR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0WKmUvgdRRgKC7PuTvnO4d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0X24VcVf6nQJ52c5QmncsO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0XJya16l3K1J2dEwY19F8z,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0XX1044L7ovU5aon6nRiF7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0XY0qeZ7czMgtb340QJRxK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0XbWSuZtb7x7GVmAb4y6vj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0YAYI6pK9cbgb9VgSUyCY4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0YLEX835pZ941BUYq4sij3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0YPBdNZyGlXr69hiCAJO5m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0YYZRB8PApk5UShT6TrFhg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
